normalized_text;aspect
banyak yang basi bapak;Pelaksanaan Program di Sekolah
omong kosong;Ketidaksetujuan dan Risiko Program
bapak terima kasih  ya berkat program bapak tetangga saya yang dahulu menghujat bapak sekarang pada girang karena bekerja di sppg kebetulan adanya di dekat  rumah akhirnya sekolah anak saya mendapat bagian juga makan bergizi ini;Pelaksanaan Program di Sekolah
yang kata nya tidak pintar bicara ternyata;Pelaksanaan Program di Sekolah
makanan tidak berguna;Pelaksanaan Program di Sekolah
makan mbg hari pertama di bersekolah anak saya kata nya tidak lezat nasi nya keras ayam nya keras pisang nya busuk;Pelaksanaan Program di Sekolah
orang pekerja 9 jam tidak sesuai gajinya karyawan mbg;Ketidaksetujuan dan Risiko Program
terima kasih bapak di lombok mataram juga tidak adanya masalah basi atau rusak untuk mbg;Dukungan terhadap Program
banyak yang tidak di makanlah;Pelaksanaan Program di Sekolah
di memberikan gratis malahan meminta uang paling digunakan judi;Ketidaksetujuan dan Risiko Program
makanannya pada basi bau bahkan busuk mencoba evaluasi dan tindak yang melanggar tindak juga  para jendera yang bermain di dalamnya;Pelaksanaan Program di Sekolah
efek nya ya pajak yang menaikkan;Dukungan terhadap Program
program tidak bermutu;Pelaksanaan Program di Sekolah
permisi bapak presiden anggaran mbg ini di mengambil dari anggaran pendidikan yang 20 dari apbn ya;Ketidaksetujuan dan Risiko Program
tolong  surel;Dukungan terhadap Program
umkm ini di bagaimana bapak;Ketidaksetujuan dan Risiko Program
lebih baik di alihkan untuk memperbanyak  lowongan bekerja bapak prabowo agar orang tuanya mendapatkan pekerjaan yang layak;Pelaksanaan Program di Sekolah
mts negeri 5 magelang belum bapak;Ketidaksetujuan dan Risiko Program
susunya mana bapak prabowo uangnya banyak benar masa susunya tidak adanya ayamnya super kecil;Ketidaksetujuan dan Risiko Program
fakir miskin anak anak terlantar diberi makanlah negara;Pelaksanaan Program di Sekolah
ingat di seluruh provinsi ya bukan di setiap bersekolah;Dukungan terhadap Program
mubazir;Pelaksanaan Program di Sekolah
lebih baik uang nya saja bapak presiden atau tingkatkan saja perekonomian rakyat;Ketidaksetujuan dan Risiko Program
makanan bergizi sebenarnya banyak manfaatnya karena anak anak dapat mengurangi uang camilan mereka dan yang tidak memiliki uang camilan dapat tetap makanlah hanya saja mungkin prosedurnya kurang tepat jika di memasak satu kali dalam jumlah ribuan porsi makanlah memasaknya kurang maksimal karena mereka bekerja dari jam 12 malam dan memasaknya pun dalam jumlah banyak menjadi  mereka dalam tanda kutip memasaknya asalkan asal-asalan banyak yang telah basi lauknya terkadang lupa buahnya rusak dan masih banyak lagi masalah yang terjadi di lapangan apalagi jika pengelolanya mengambil keuntungan yang besar makanannya tidak sesuai dengan dana yang di berikan lebih baik di berikan di setiap desa atau kelurahan yang mengelola dan paling banyak jumlahnya 300an agar mereka juga mengelolahnya dengan maksimal dan juga dapat menjadi  pendapatan untuk ibu ibu yang adanya di desa ataupun kelurahan kalau menurut saya sih seperti itu lebih efisien maaf jika adanya kata-kata yang kurang berkenan;Ketidaksetujuan dan Risiko Program
mbg itu program apa-apaan kalau ingin untuk mbg memberikan saja yang membutuhkan kalau anak pegawai tidak perlu;Ketidaksetujuan dan Risiko Program
lebih baik di berikan uang saja bapak lebih manfaat;Ketidaksetujuan dan Risiko Program
membuka lapangan pekerjaan juga untuk yang memasak tetapi  daerah sd tapos cilangkap seperti belum adanya mbg;Ketidaksetujuan dan Risiko Program
repot bapak urusan makanlah kembalikan saja kepada otang tua agar semua berjalan baik;Pelaksanaan Program di Sekolah
jujur tidak efisien bapak;Ketidaksetujuan dan Risiko Program
omong omonn;Ketidaksetujuan dan Risiko Program
nasib yang sudah  bekerja bagaimana mendapat tidak;Ketidaksetujuan dan Risiko Program
mantap bapak dan lanjutkan untuk indonesia emas;Dukungan terhadap Program
tidak mengurus;Pelaksanaan Program di Sekolah
belum adanya sampai di juata bapak;Ketidaksetujuan dan Risiko Program
bersekolah gratis sangat baik juga bapak prabowo ekonomi lagi terpuruk;Pelaksanaan Program di Sekolah
memang makanan nya selalu di makan bapak makanan nya banyak yang terbuang bapak;Pelaksanaan Program di Sekolah
mencoba dananya dialihkan untuk kepentingan pendidikan anak-anak;Ketidaksetujuan dan Risiko Program
kurang setuju karena kebanyakan anak-anak tidak menyukai akhirnya banyak makanan yang terbuang;Pelaksanaan Program di Sekolah
makanlah senilai 7 nol bergizi;Ketidaksetujuan dan Risiko Program
12 triliun belum efisien tidak;Ketidaksetujuan dan Risiko Program
gizi;Pelaksanaan Program di Sekolah
mana belum sampai;Ketidaksetujuan dan Risiko Program
sehat dan panjang umur bapak presiden saya;Dukungan terhadap Program
makanan nya tidak sesuai dengan yang namanya gizi;Pelaksanaan Program di Sekolah
bapak terima kasih banyak ya di sekolah anak saya baru mulai mbg sudah dua kali termasuk hari ini anak senang apa lagi kalau mendapat susu buah sehat selalu bapak presiden saya;Dukungan terhadap Program
berhenti mbg tidak adanya manfaat nya membuang membuang biaya kebanyakan tidak sama-sama di makanlah;Ketidaksetujuan dan Risiko Program
program gagal;Ketidaksetujuan dan Risiko Program
bapak prabowo prabowo sudah  benar lagi masih juga memberikan jalan jalan  korupsi lagi di bersekolah sudah  mulai korupsi kecil kecilan anak didik hanya 26 laporan 30 adanya yang anak tk 30 laporan 36 bayangkan se indonesia sudah  berapa merugikan kan uang negara dan menguntungkan yang mendapat proyek tersebut yang seperti menambah yang miskin menambah menderita;Ketidaksetujuan dan Risiko Program
hentikan saja bapak membuang membuang uang banyak yang tidak layak di makan banyak yang keracunan;Pelaksanaan Program di Sekolah
semoga  lancar bapak amin ya rabbal 'aalamiin;Dukungan terhadap Program
prabowo 15 ribu rupiah anak realitasnya hanya 80 anak 7 ribu rupiah disunat dapat pengelola nya;Ketidaksetujuan dan Risiko Program
berhenti saja makanlah gratis anak saya sakit-sakit perut saja kalau makanlah nasi itu asalkan saja mereka memasak nasi basi diberikan anak-anak sudah satu minggu ini anak saya tidak saya berikan makanlah lagi nasi itu;Pelaksanaan Program di Sekolah
habis deh;Pelaksanaan Program di Sekolah
saya tidak mendapat;Ketidaksetujuan dan Risiko Program
alhamdulilah bapak prabowo sehat selalu semoga mengalir pahala senang nya anak-anak makanlah gratis yang telah berjalan;Dukungan terhadap Program
bapak tolong jangan dilanjutkan program mbg yang tidak saat mubazir dan membuang anggaran;Dukungan terhadap Program
bersekolah saya belum bapak;Pelaksanaan Program di Sekolah
menyuruh menteri dahulu yang makanlah;Pelaksanaan Program di Sekolah
mestinya dikaji kembali bapak presiden sepertinya tidak tepat memberi makanlah di bersekolah anak-anak bukannya semakin semangat belajar malahan semakin mengantuk;Pelaksanaan Program di Sekolah
banyak masalah;Ketidaksetujuan dan Risiko Program
tidak adanya manfaatnya lebih baik diberikan para umum untuk modal usaha uang dapat putar di rakyat bawah;Ketidaksetujuan dan Risiko Program
bapak tempat saya mengapa tidak adanya susu nya kata nya empat sehat 5 sempurna;Ketidaksetujuan dan Risiko Program
saya setuju dengan program nya tetapi  jangan disebut gratis bapak itu uangnya dari pajak rakyat sama saja rakyat telah deposito untuk membeli makanan bergizi lalu mengapa uang rakyat 50 juta bulan untuk anggota dewan disebut tunjangan baik nya disebut sumbangan rakyat yang tidak malu terima sumbangan silakan mengambil;Ketidaksetujuan dan Risiko Program
bergizi nya dari mana orang makanan nya saja murahan;Pelaksanaan Program di Sekolah
mbg membuat anak bodoh malas;Ketidaksetujuan dan Risiko Program
mbg banyak yang tidak di makan anak bersekolah karena merasa masakan nya asal-asalan coba di survei saja di bersekolah bersekolah banyak yang mubah menjadi  sampah;Pelaksanaan Program di Sekolah
mubazir;Pelaksanaan Program di Sekolah
izin bapak dari hati saya yang paling dalam tolong dong nasi gratis di diganti uang saja sayang nasinya banyak anak-anak yang tidak makanlah kasihan pedagang kecil yang berjualan nasi tidak laku;Pelaksanaan Program di Sekolah
mana umkm yang bisnis para pejabat yang memiliki tautan;Ketidaksetujuan dan Risiko Program
banyak makanannya  tidak steril buah busuk sayur basi lauk bau uangkan saja setiap bulan;Pelaksanaan Program di Sekolah
manfaatnya kurang tidak mengurangi beban orang tua siswa yang untung hanyalah pengusaha dapur kurang manfaat sayang alokasi 335 t hanya hanya;Ketidaksetujuan dan Risiko Program
maaf bapak programnya saya nilai cacat perlu di evaluasi bila perlu berhenti;Ketidaksetujuan dan Risiko Program
tidak bakal benar bapak melihat saja ke lapangan;Ketidaksetujuan dan Risiko Program
menguntungkan yayasan yang terlibat;Ketidaksetujuan dan Risiko Program
lebih baik untuk mencicil  utang kepada cina bapak;Ketidaksetujuan dan Risiko Program
lanjutkan negara menanggung makanlah anak-anak;Ketidaksetujuan dan Risiko Program
mantap prabowo;Ketidaksetujuan dan Risiko Program
program itu belum saatnya mubazir uangnya;Ketidaksetujuan dan Risiko Program
lebih baik diberikan uangnya kepada orang tua murid bapak prabowo masalahnya pelaksananya banyak yang mengorupsi;Ketidaksetujuan dan Risiko Program
bapak bersekolah saya tidak mendapat bapak kita sudah  kelaparan kita menunggu makanlah bergizi gratis dari bapak prabowo kami berharap secepatnya dapat mendapatkan makanan gratis dari bapak prabowo;Pelaksanaan Program di Sekolah
aduh membuat lk kanggo bapak e saja anak-anak e agar di ingoni bapak saja bapak-bapak piyetoki;Pelaksanaan Program di Sekolah
seluruh provinsi tetapi  belum merata keseluruhan bersekolah;Dukungan terhadap Program
kebijakan tolol;Dukungan terhadap Program
singajaya belum;Ketidaksetujuan dan Risiko Program
program tercipta nya lapangan bekerja dan saya bersyukur dapat bekerja mencari nafkah;Ketidaksetujuan dan Risiko Program
itu uang dari mana presiden;Ketidaksetujuan dan Risiko Program
sini belum adanya mbg bapak presiden cilacap jeruklegi;Ketidaksetujuan dan Risiko Program
lebih baik untuk yang berguna yang lebih penting;Dukungan terhadap Program
di bersekolah saya belum bapak;Pelaksanaan Program di Sekolah
lah menjadi  pusing rakyat semua;Ketidaksetujuan dan Risiko Program
bekerja di sini daftar dipungut biaya rupiah 500 nol yang katanya tidak dipungut biaya tetapi kenyataannya adanya;Ketidaksetujuan dan Risiko Program
lebih baik uangnya untuk bangun jalan usah tani lebih bermanfaat;Ketidaksetujuan dan Risiko Program
banyak yang basi;Pelaksanaan Program di Sekolah
menghentikan kegiatan itu bapak presiden;Dukungan terhadap Program
alhamdulillah bersyukur sekali adanya mbg di sekolah;Dukungan terhadap Program
presiden ahli bicara di mimbar;Pelaksanaan Program di Sekolah
terima kasih bapak makanlah siang gratis nya enak  dapat menyisakan uang saku juga untuk di tabungg;Pelaksanaan Program di Sekolah
saran bapak prabowo lebih baik bersekolah gratis bapak prabowo 10 ribu bergizi gizi apa namanya masuk sama-sama kategori empat sehat 5 sempurna;Ketidaksetujuan dan Risiko Program
daerah yang tidak adanya pemodalnya tidak dapat terealisasi bapak bagaimana solusinya;Ketidaksetujuan dan Risiko Program
di saya belum;Ketidaksetujuan dan Risiko Program
lahap mengorupsi baru;Ketidaksetujuan dan Risiko Program
daerah periferal belum bapak presiden;Dukungan terhadap Program
kapan makanan gratis nya;Pelaksanaan Program di Sekolah
membuang membuang uang ujung akhirnya pajak naik;Ketidaksetujuan dan Risiko Program
yayasan meminta jatah 2500 per porsi itu bagaimana maksudnya;Ketidaksetujuan dan Risiko Program
izin bapak lebih baik di bagi saja per kakak menjadi  semua rakyat indonesia mendapat;Ketidaksetujuan dan Risiko Program
mana prabowo mbg ini prabowo lapar ini prabowo;Dukungan terhadap Program
provinsi maluku sangat bangga program mbg sangat membantu ekonomi sama lapangan bekerja yang banya semoga bapak presiden sehat selalu panjang umur;Dukungan terhadap Program
kalau tidak diuangkan dapat membantu para petani pekebun peternak dengan begitu akan menumbuhkan lapangan bekerja bagi masyarakat kecil;Ketidaksetujuan dan Risiko Program
mbg berhenti potensi membuka lapangan korupsi;Ketidaksetujuan dan Risiko Program
kembali di mana disulap menjadi dapur ke mana kemenakertrans mengapa diam;Ketidaksetujuan dan Risiko Program
omong kosong;Ketidaksetujuan dan Risiko Program
bapak presiden terhormat saya ingin bertanya kapan ya bersekolah kami mendapat sdn 104211 marindal satu;Pelaksanaan Program di Sekolah
semoga sembilan bahan pokok tidak turut menaikkan di pasar bapak ayam telur beras dan lain-lain semoga tetap stabil harganya;Ketidaksetujuan dan Risiko Program
itu ngenah mbg ini juga  ah anak saya sama-sama tidak ingin makanlah tetap saja bekal di rumah sama camilan;Pelaksanaan Program di Sekolah
bantuan menjadi  tidak adanya padahal saya memiliki balita sama anak smp tetapi kartu kks saya sudah  tidak mendapat sekarang rumah biasa saja kulkas tidak memiliki mesin cuci tidak adanya apa dana nya habis karena mbg memiliki balita itu membutuhkan dana lebih untuk kebutuhan sehari;Ketidaksetujuan dan Risiko Program
provinsi sumatra barat kabupaten pasaman barat tidak adanya bapak yang namanya program makanlah gizi gratis mbg;Pelaksanaan Program di Sekolah
rakyat yang menyuruh bertanggung jawab embah prabowo kamu naikkan pajak;Ketidaksetujuan dan Risiko Program
baunya belum tercium di tempat kami bapak;Pelaksanaan Program di Sekolah
semoga perputaran uang berjalan dengan baik petani dari beras dan sayuran nya nelayan dari ikannya peternak dari daging sama telur nya alhamdulillah bersemangat bapak;Ketidaksetujuan dan Risiko Program
sama-sama tidak ingin di makanlah bapak anak bersekolah;Pelaksanaan Program di Sekolah
nias selatan khususnya lahusa nias selatan prov sumatra utara kosong bapak belum terlaksana dan beberapa daerah belum sama sekali;Dukungan terhadap Program
realita masuk kantong semua;Ketidaksetujuan dan Risiko Program
tolong cabut aturan undang-undang omnibus maaf kalau benar kasihan suami saya banyak lowongan tetapi  belum adanya panggilan sudah  masuk sana sini sekali nya masuk hanya tiga 6 anjing itu pun kalau tidak nyogok sulit;Ketidaksetujuan dan Risiko Program
lebih baik berikan kepada yang lebih membutuhkan bapak seperti tukang mulung rongsok pokoknya yang terpencil gitulah;Pelaksanaan Program di Sekolah
bapak prabowo mengapa mbg banyak yang keracunan;Ketidaksetujuan dan Risiko Program
lebih baik yang berbeda saja bapak;Ketidaksetujuan dan Risiko Program
mbg dikaji lagi bapak prabowo mbg membunuh umkm terutama pedagang kecil;Ketidaksetujuan dan Risiko Program
pasti raib uang itu entah ke mana larinya;Ketidaksetujuan dan Risiko Program
memberikan makanlah anak tanggung jawab orang tua;Pelaksanaan Program di Sekolah
pemenang tender saja yang beruang bapak ee;Pelaksanaan Program di Sekolah
asyik pemerintah menyebar uang lagi sekali ini siswa dan ibu hamil yang menjadi bidaknya akankah nasibnya akan sama dengan dana bantuan social yang ternyata tidak sedikit pagawai bumn dan pejabat yang masuk daftar golongan wajib mendapat bantuan social;Ketidaksetujuan dan Risiko Program
mubazir banyak tidak di makanlah celah mengorupsi besar lebih baik bersekolah gratis kesehatan gratis;Pelaksanaan Program di Sekolah
di tempat kami belum adanya makanlah gratis bapak;Pelaksanaan Program di Sekolah
menjadi  bancakan itu kenapa harus melalui yayasan yang mendapat 2500 dari pagu 150 porsi kalau adanya 82 juta porsi sekali 2500 sudah  berapa triliun itu untuk yayasan sekali lagi 5 tahun lebih dari cukup itu untuk mencalonkan diri sebagai presiden;Ketidaksetujuan dan Risiko Program
cukup bapak jangan dilanjut evaluasi dahulu;Ketidaksetujuan dan Risiko Program
di tempat saya sendiri senang makanlah gizi gratis terima memberikan presiden pranowo;Pelaksanaan Program di Sekolah
bapak dana makanlah gratis kalau dapat dialihkan kepada bersekolah gratis bapak;Pelaksanaan Program di Sekolah
gu yang belum mendapat;Ketidaksetujuan dan Risiko Program
bapak ingat apbn terperosok bapak masih banyak pembangunan yang harus di lanjutkan bapak bapak;Ketidaksetujuan dan Risiko Program
bapak bersekolah kami belum mendapat;Pelaksanaan Program di Sekolah
izin bapak presiden kampong kami belum sampai;Ketidaksetujuan dan Risiko Program
terima kasih bapak prabowo saya menjadi  memiliki pekerjaan;Dukungan terhadap Program
yang penting dewan perwakilan rakyat gji nya di menambah agar mereka dapat hidup lezat;Ketidaksetujuan dan Risiko Program
dievaluasi bapak;Ketidaksetujuan dan Risiko Program
berhenti bapak tidak semua anak ingin makanlah alokasikan kepada program lainnya yang lebih manfaat;Ketidaksetujuan dan Risiko Program
makan gizi gratis membentuk jiwa anak mengemis mengharapkan gratisan lebih baik tingkatkan pendidikan gratis dengan fasilitas yang lebih modern lagi atau uangnya memberikan orang tua per bulan agar orang tua masing yang mengelola makan anak;Pelaksanaan Program di Sekolah
belum semua bapak prabowo;Dukungan terhadap Program
kenyataannya tidak layak dan banyak siswa yang bosan menjadi  banyak juga yang tidak di makan;Pelaksanaan Program di Sekolah
tidak masuk program e;Ketidaksetujuan dan Risiko Program
mbg bubarkan saja bapak prabowo indonesia belum siap memberikan makanlah gratis kepada rakyatnya memberi pekerjaan sekolah gratis;Pelaksanaan Program di Sekolah
maaf kalau boleh tahu uang nya dari mana bapak karena kami tidak ingin anak kami di memberikan makanlah dari uang haram riba;Ketidaksetujuan dan Risiko Program
izin bapak presiden lezat untuk pendidikan gratis saja dari sama-sama makanlah bergizi gratis;Pelaksanaan Program di Sekolah
saya belum;Ketidaksetujuan dan Risiko Program
buang-buang anggaran hanya menguntungkan orang orang tertentu terutama pemilik yayasan dan pemasok;Ketidaksetujuan dan Risiko Program
buang-buang anggaran bapak;Ketidaksetujuan dan Risiko Program
mbg ganti dengan sekolah gratis membuat menambah utang negara mubazir banyak yang tidak di makan;Ketidaksetujuan dan Risiko Program
provinsi bengkulu belum bapak;Dukungan terhadap Program
program mubazir biaya besar efeknya sedikit;Dukungan terhadap Program
hati hati menjadi  ladang mengorupsi baru;Ketidaksetujuan dan Risiko Program
bersekolah saya belum mendapat bapak bagaimana ini bapak;Pelaksanaan Program di Sekolah
program mbg lebih baik berikan tambahan penghasilan orang tua murid per satu kepala 15 ribu rupiah lebih bagus;Ketidaksetujuan dan Risiko Program
kasihan ibu kantin bapak presiden;Pelaksanaan Program di Sekolah
dengarkanlah suara rakyat bapak;Ketidaksetujuan dan Risiko Program
mubazir ini bapak sangat di sayangkan lebih baik digratiskan pendidikan dari sd sampai perguruan tinggi dan kesehatan gratis bagi rakyat sangat di sayangkan;Pelaksanaan Program di Sekolah
gresik gurung kecamatan cerme;Pelaksanaan Program di Sekolah
ilmu mana mbg mendapat meningkatkan sumber daya manusia;Ketidaksetujuan dan Risiko Program
terima kasih bapak alhamdulillah makanan gratis telah sampai di bersekolah provinsi sulawesi tenggara baubau;Dukungan terhadap Program
tidak efisien bapak berhenti saja;Ketidaksetujuan dan Risiko Program
lebih baik ditiadakan umkm mana adanya modal kalau pembayaran 10 hari modal tidak terputar sudahlah bapak cukup tahun 2025 mendapat apa 10 ribu kalau di indonesia timur;Ketidaksetujuan dan Risiko Program
sepertinya benar yang memberi masukan sama beliau padahal mbg belum merata;Ketidaksetujuan dan Risiko Program
banyak anak keracunan lebih baik bersekolah gratis saja;Pelaksanaan Program di Sekolah
mana adanya sampai sekarang;Ketidaksetujuan dan Risiko Program
hanya sak provinsi tidak merata;Dukungan terhadap Program
tidak adanya gunanya katanya meningkatkan umkm ternyata yang menjadi  pengelola ya orang-orang besar juga;Ketidaksetujuan dan Risiko Program
para katering kecil ukm ukm memberikan pekerjaan juga bapak;Ketidaksetujuan dan Risiko Program
belum merata bapak prabowo mash adanya sekolah yang belum tersentuh;Dukungan terhadap Program
programnya sudah bagus yang menjadi masalahnya ini yang memasaknya kenapa sampai hambar begitu rasanya  sayang sekali modal pemerintah tidak sedikit;Pelaksanaan Program di Sekolah
sebagai rakyat harus turut dan mendukung program pemerintah;Ketidaksetujuan dan Risiko Program
turun kan harga sembilan bahan pokok;Ketidaksetujuan dan Risiko Program
sekolah saya belum mendapat;Pelaksanaan Program di Sekolah
pengusaha katering pt yang berlogo mbg periksa di lapangan daya rakyat di desa tidak bergerak akibat mbg bekap pengusaha izin tertutup;Ketidaksetujuan dan Risiko Program
ya bapak kami memiliki kantin di bersekolah bangkrut;Pelaksanaan Program di Sekolah
makanlah gratis makanlah gratis lowongan pekerjaannya mana;Pelaksanaan Program di Sekolah
hapus bapak makanlah gratis nya;Pelaksanaan Program di Sekolah
maaf ya bapak di desa kami tidak mendapat mbg;Ketidaksetujuan dan Risiko Program
benar;Ketidaksetujuan dan Risiko Program
t tetapi  bapak banyak sekali yang keracunan karena mbg ini tolong usut tuntas bapak;Dukungan terhadap Program
habis triliunan tetapi  anak saya belum pernah mendapat apa fiktif ya;Ketidaksetujuan dan Risiko Program
hanya katering-katering besar yang mendapat pekerjaan ini bapak bahkan salah satu anggota dewan malahan yang memegang  langsung membuat dapur umum dan puluhan karyawan;Ketidaksetujuan dan Risiko Program
lebih baik di bagi uang nya saja agar tidak rumit;Ketidaksetujuan dan Risiko Program
tertawakan saja lah;Ketidaksetujuan dan Risiko Program
sehat selalu bapak prabowo selalu dalam lindungan allah swt;Dukungan terhadap Program
hati hati bapak;Ketidaksetujuan dan Risiko Program
di banten tidak adanya;Dukungan terhadap Program
sekolahku belum adanya mbg;Ketidaksetujuan dan Risiko Program
teori dan praktik;Ketidaksetujuan dan Risiko Program
di jawa tengah kebumen tepat nya di desa karang kembang kecamatan alian sd nya sama sekali tidak pernah di memberikan makanlah gratis di sekolah dan sekolah pun pembayaran tidak gratis padahal  negeri lo setiap  tahun harus membayar  uang pengembangan per tahun nya 270 dan itu menaikkan setiap tauun nnyya di tambaah sering ada pungutan liar;Pelaksanaan Program di Sekolah
semoga tidak lama ini makanlah gratis;Pelaksanaan Program di Sekolah
makanan gratis membuat bangkrut indonesia karena barang sembilan bahan pokok mahal semua;Ketidaksetujuan dan Risiko Program
bagaimana kalau jalan kita bangun sangat baik bapak;Ketidaksetujuan dan Risiko Program
mohon bapak prabowo kalau sayang sma rakyat berhenti jangan adanya makan gratis;Ketidaksetujuan dan Risiko Program
adanya program seperti ini saja banyak yang menolak bagaimana ingin maju negara ingin nya uang saja apa apa uang bekerja kalau ingin uang;Ketidaksetujuan dan Risiko Program
gdp c s i export impor program mbg adalah stimulus melalui c;Ketidaksetujuan dan Risiko Program
di bersekolah anak saya belum adanya bapak lampung selatan;Pelaksanaan Program di Sekolah
di sini belum mendapat bapak;Ketidaksetujuan dan Risiko Program
adanya mbg pihak kantin bersekolah yang dirugikan padahal sewa kantinnya mahal dan penghasilannya menurun drastis karena adanya mbg;Ketidaksetujuan dan Risiko Program
bapak berhenti saja program mbg di rumah saja harus teriak-teriak menyuruh makan apa lagi di sekolah;Pelaksanaan Program di Sekolah
bapak presiden ri yang terhormat sampai hari ini program mbg hanya anak bersekolah di kota saja yang menikmati sedngkan anak bersekolah yang adanya di desa tidak menikmati apa masalah nya bapak hingga belum program mbg nya belum sampai di desa;Pelaksanaan Program di Sekolah
banyak yang mubazir sama-sama tidak ingin sebab masakannya tidak lezat;Pelaksanaan Program di Sekolah
belum semua di pelosok dua belum mendapat makanlah;Pelaksanaan Program di Sekolah
yang diberikan yang benar-benar membutuhkan saja bapak presiden agar tidak boros dana negara dapat unt membangun infrastruktur dan biaya pendidikan gratis sekarang bangun bersekolah tetapi jalan perekonomian tidak dibangun meninggal rakyat kecil karena jalannya rusak;Ketidaksetujuan dan Risiko Program
di sekolah anak saya tidak adanya makan gratis bapak banjarmasin saya ibu hamil tidak mendapat setiap hari hanya mendapat seminggu sekali;Pelaksanaan Program di Sekolah
bersekolah kami belum mendapat makanlah gratis;Pelaksanaan Program di Sekolah
bapak tolong di berhenti kan saja mbg nya kalau tidak ingin di uangkan makanannya sayang terbuang dan itu tidak adanya manfaat sma sekali;Ketidaksetujuan dan Risiko Program
lucu semua ingin mentahannya bukannya bersyukur selamat ini sudah adanya program berbeda bantuan uang baik dari sekolah untuk anak pip dari desa terus masih kurang lagi seharusnya  yang harus teliti  lagi ini pihak mbg sppg nya mengapa dapat basi mencoba kalau tepat memasaknya tidak kan basi;Pelaksanaan Program di Sekolah
petani singkong hancur presiden tutup mata;Ketidaksetujuan dan Risiko Program
terbayang tidak nanti proses korupsinya seperti bagaimana;Ketidaksetujuan dan Risiko Program
di bogor kalau liang memang tidak adanya bapak;Ketidaksetujuan dan Risiko Program
di saya kapan;Ketidaksetujuan dan Risiko Program
yogyakarta belum admin;Ketidaksetujuan dan Risiko Program
menjadi  lahap korupsi lagi;Ketidaksetujuan dan Risiko Program
sehat dan selamat jiwa raga di mana pun dan kapanpun bapak prabowo amin ya rabbal alamin semoga program prioritas mbg dapat berjalan lancar atas bantuan tuhan yme;Dukungan terhadap Program
uang pajak;Ketidaksetujuan dan Risiko Program
belum mendapat saya bapak;Ketidaksetujuan dan Risiko Program
banyak yang keracunan mbg;Ketidaksetujuan dan Risiko Program
mbg tolong kualitasnya diperbaiki bapak percuma tidak di makanlah karena kurang lezat;Ketidaksetujuan dan Risiko Program
di smk tangerang selatan belum mendapat;Dukungan terhadap Program
lebih baik bersekolah gratis bapak;Pelaksanaan Program di Sekolah
proyek empuk itu tidak berguna itu percaya saja lebih baik bantuannya di belikan langsung agar orang tua sendiri yang untuk makanan;Ketidaksetujuan dan Risiko Program
niat baik tetapi  belum tentu berbuah baik salut sama niat nya tetapi  hasil nya jauh dengan apa yang bapak harapkan banyak mubah bapak jarang di makanlah mubazir kebayakan nya bapak itu kan uang triliunan menjadi  sayang kalau di mubazir terus;Pelaksanaan Program di Sekolah
mana bapak di banten lebak belum ini yang di kota saja diberikan yang di kampung tidak di memberikan;Dukungan terhadap Program
di tunggu bapak makanlah gratis nya;Pelaksanaan Program di Sekolah
makanan nya sih berhenti saja tetapi  susu nya jangan oia susunya yang berkualitas ya yang tanpa gula;Ketidaksetujuan dan Risiko Program
di bersekolah anak saya belum sampai bapak di desa kamundung omben sampang madura;Pelaksanaan Program di Sekolah
saya belum dapat  ini py;Ketidaksetujuan dan Risiko Program
lebih baik sediakan lowongan bekerja dari dahulu juga makanlah ya makanlah yang penting lowongan bekerja untuk mencari makanlah;Ketidaksetujuan dan Risiko Program
bukan dari gizi menentukan kecerdasan seseorang tetapi takdir cerdas itu takdir pintar itu proses;Pelaksanaan Program di Sekolah
banyak bersekolah yang tidak mendapat di mengorupsi sama pengelola;Ketidaksetujuan dan Risiko Program
belum bapak prabowo smk nasional jatiwangi belum;Ketidaksetujuan dan Risiko Program
paling juga di mengorupsi bapak makanlah gratis nya tidak lezat;Pelaksanaan Program di Sekolah
asalkan tidak utang ya bapak dana alokasi nya;Ketidaksetujuan dan Risiko Program
mantap;Ketidaksetujuan dan Risiko Program
bersekolah kami tahun berapa bapak datang mbg nya;Ketidaksetujuan dan Risiko Program
bangkrut;Dukungan terhadap Program
dan tidak adanya susu bapak;Ketidaksetujuan dan Risiko Program
bapak prabowo nasi nya sedikit saya tidak kenyang;Pelaksanaan Program di Sekolah
program benar sekali telah berkorban sektor berbeda yang manfaat ditunda masyarakat tidak miskin semua mereka tidak boleh sama orang tuanya takut terjadi keracunan lebih baik uang anaknya yang miskin yang di berikan uang;Ketidaksetujuan dan Risiko Program
mengapa serang belum mendapat bapak;Ketidaksetujuan dan Risiko Program
di berhenti saja saran kami lebih bermanfaat di uangkan saja agar untuk memasak sendiri ibu nya menjadi  dapat menghemat dapat di makanlah sekeluarga;Ketidaksetujuan dan Risiko Program
ayo bapak bantuan-bantuan hapus saja cukup bantuan beras saja per kakak dan fokuskan bantuan untuk anak-anak bersekolah terutama makanlah gratis ini dan harga-harga jangan dinaikkan;Pelaksanaan Program di Sekolah
sd adik saya belum mendapat kasihan adik saya;Pelaksanaan Program di Sekolah
wah besar proyek itu nikmat lah siapa pengelola nya;Ketidaksetujuan dan Risiko Program
apa-apaan di smpn satu babakan sppg al jelani adanya hewan belatung sama bau asam;Pelaksanaan Program di Sekolah
